"pizzaId";"pizzaName";"pizzaPrice";"pizzaPrice1";"pizzaPrice2";"pizzaDesc";"pizzaCategorieId";"pizzaPubDate"
"69";"Well Amla";"205";"123";"4.56";"Code: HL2025   Shade Name: 
DP: 205.00   BV: 123.00   PV: 4.56
Weight(gm): 55.00";"22";"2021-11-28 17:57:40"
"70";"Well Turmeric";"925";"555";"20.56";"Code: HL2053   Shade Name: 
DP: 925.00   BV: 555.00   PV: 20.56
Weight(gm): 55.00";"22";"2021-11-28 18:01:23"
"71";"Well Brahmi";"400";"240";"8.89";"Code: HL2029   Shade Name: 
DP: 400.00   BV: 240.00   PV: 8.89
Weight(gm): 55.00";"22";"2021-11-29 22:44:52"
"72";"Well Brain Activ";"1030";"618";"22.89";"Code: HL2054   Shade Name: 
DP: 1030.00   BV: 618.00   PV: 22.89
Weight(gm): 43.00";"22";"2021-11-29 22:45:59"
"74";"Well Multivitamin Multimineral";"350";"210";"7.78";"Code: HL2009   Shade Name: Well Multivitamin-Multimineral Tablets (New MRP)
DP: 350.00   BV: 210.00   PV: 7.78
Weight(gm): 78.00";"22";"2021-12-02 14:43:32"
"86";"Well Amrit Shakti";"380";"228.62";"8.47";"Code: HL2003   Shade Name: Well Amrit Shakti (Pack Of 100 Soft Gels) (New MRP)
DP: 380.00   BV: 228.62   PV: 8.47
Weight(gm): 75.00";"22";"2021-12-02 18:47:55"
"87";"Well Ashwagandha";"400";"240";"8.89";"Code: HL2026   Shade Name: 
DP: 400.00   BV: 240.00   PV: 8.89
Weight(gm): 60.00";"22";"2021-12-02 19:59:21"
"88";"Modicare Well Calcium Complex (60 Tablets) (New MRP)";"440";"264";"9.78";"Code: HL2014   Shade Name: 
DP: 440.00   BV: 264.00   PV: 9.78
Weight(gm): 138.00";"22";"2021-12-02 20:00:44"
"89";"Well Cardio Activ";"450";"270";"10";"Code: HL2001   Shade Name: 
DP: 450.00   BV: 270.00   PV: 10.00
Weight(gm): 75.00";"22";"2021-12-02 20:01:29"
"90";"Well intellecte";"800";"480";"17.78";"Code: HL1006   Shade Name: Well Intellecte (30 Capsules) (New MRP)
DP: 800.00   BV: 480.00   PV: 17.78
Weight(gm): 56.00";"22";"2021-12-02 20:02:41"
"91";"Well Omega 3 Antarctic Krill Oil";"1350";"810";"30";"Code: HL2024   Shade Name: 
DP: 1350.00   BV: 810.00   PV: 30.00
Weight(gm): 46.00";"22";"2021-12-02 20:03:41"
"93";"Well D tox";"470";"282";"10.44";"Code: HL2002   Shade Name: Modicare Well D-Tox (60 Tablets) (New MRP)
DP: 470.00   BV: 282.00   PV: 10.44
Weight(gm): 76.00
";"22";"2021-12-02 20:04:44"
"94";"Well Shilajit Ojas Gold With Kesar & Safed Musli";"525";"262.5";"9.72";"Code: HL2015   Shade Name: 
DP: 525.00   BV: 262.50   PV: 9.72
Weight(gm): 42.00";"22";"2021-12-02 20:05:55"
"95";"Well Vitamin D3";"434";"260.4";"9.64";"Code: HL2068   Shade Name: 
DP: 434.00   BV: 260.40   PV: 9.64
Weight(gm): 130.00";"22";"2021-12-02 20:06:44"
"96";"Well Vitamin C";"434";"260.4";"9.64";"Code: HL2066   Shade Name: 
DP: 434.00   BV: 260.40   PV: 9.64
Weight(gm): 130.00";"22";"2021-12-02 20:07:45"
"97";"Well Triphala";"260";"156";"5.78";"Code: HL2074   Shade Name: 
DP: 260.00   BV: 156.00   PV: 5.78
Weight(gm): 83.00";"22";"2021-12-02 20:09:05"
"98";"Well Vitamin B-Complex";"434";"260.4";"9.64";"Code: HL2072   Shade Name: 
DP: 434.00   BV: 260.40   PV: 9.64
Weight(gm): 90.00";"22";"2021-12-02 20:10:49"
"100";"Well Protein Crest (Velvet Chocolate)";"1225";"735";"27.22";"Code: HL1003   Shade Name: 
DP: 1225.00   BV: 735.00   PV: 27.22
Weight(gm): 688.00";"22";"2021-12-02 20:14:20"
"101";"Well Korean Red Ginseng (6 Years Old)";"2000";"1200";"44.44";"Code: HL1008   Shade Name: 
DP: 2000.00   BV: 1200.00   PV: 44.44
Weight(gm): 58.00
";"22";"2021-12-02 20:15:43"
"102";"Well Chyawanprash";"187";"74.8";"2.77";"Code: HL2058   Shade Name: 
DP: 187.00   BV: 74.80   PV: 2.77
Weight(gm): 570.00";"22";"2021-12-02 20:17:40"
"104";"Well Noni Juice Concentrate";"499";"199.6";"7.39";"Code: HL2006   Shade Name: Well Noni Juice Concentrate (1 L) (New MRP)
DP: 499.00   BV: 199.60   PV: 7.39
Weight(gm): 1253.00";"22";"2021-12-02 20:25:39"
"105";"Well Iron Folic Acid";"283";"169.8";"6.29";"Code: HL2067   Shade Name: 
DP: 283.00   BV: 169.80   PV: 6.29
Weight(gm): 80.00";"22";"2021-12-02 20:26:56"
"107";"Well Aloe Vera Juice";"300";"120";"4.44";"Code: HL2011   Shade Name: 
DP: 300.00   BV: 120.00   PV: 4.44
Weight(gm): 1110.00";"22";"2021-12-02 20:29:55"
"111";"Fruit Of The Earth Instant Blended Coffee";"150";"60";"2.22";"Code: FP3009   Shade Name: Fruit of the Earth Blended Instant Coffee
DP: 150.00   BV: 60.00   PV: 2.22
Weight(gm): 239.00";"22";"2021-12-02 20:57:09"
"112";"Well Karela Jamun Juice";"315";"126";"4.67";"Code: HL2071   Shade Name: 
DP: 315.00   BV: 126.00   PV: 4.67
Weight(gm): 1215.00
";"22";"2021-12-02 20:59:02"
"113";"Well Glucosamine";"1290";"774";"28.67";"Code: HL1005   Shade Name: 
DP: 1290.00   BV: 774.00   PV: 28.67
Weight(gm): 146.00";"22";"2021-12-02 21:00:51"
"114";"Well Garlic Pearls";"335";"201.54";"7.46";"Code: HL2005   Shade Name: Well Garlic Pearls (Pack Of 100 Soft Gels) (New MRP)
DP: 335.00   BV: 201.54   PV: 7.46
Weight(gm): 75.00";"22";"2021-12-02 21:01:31"
"115";"WELL GILOY 60 N";"199";"119.4";"4.42";"Code: HL2065   Shade Name: 
DP: 199.00   BV: 119.40   PV: 4.42
Weight(gm): 55.00";"22";"2021-12-02 21:03:21"
"119";"Baby Spa Nourishing Soap";"63";"34.65";"1.28";"Baby Spa Nourishing Soap
Code: BC0002   Shade Name: 
DP: 63.00   BV: 34.65   PV: 1.28
Weight(gm): 79.00";"33";"2021-12-02 21:10:05"
"121";"Baby Talc Powder";"80";"44";"1.63";"Code: BC0009   Shade Name: 
DP: 80.00   BV: 44.00   PV: 1.63
Weight(gm): 128.00";"33";"2021-12-02 21:11:03"
"123";"Essensual Hand & Body Lotion (Allantoin & Vit. E)";"160";"95.24";"3.53";"Code: PC5243   Shade Name: 
DP: 160.00   BV: 95.24   PV: 3.53
Weight(gm): 117.00";"31";"2021-12-02 21:13:18"
"124";"Fresh Moments Blue Toothpaste PC2000";"70";"35";"1.3";"Code: PC2000   Shade Name: Modicare Fresh Moments 2 Tooth Paste - 100G (New MRP)
DP: 70.00   BV: 35.00   PV: 1.30
Weight(gm): 131.00";"31";"2021-12-02 21:15:05"
"125";"Modicare Environ Chip Laptop";"1250";"750";"27.78";"Code: HL2070   Shade Name: 
DP: 1250.00   BV: 750.00   PV: 27.78
Weight(gm): 23.00";"31";"2021-12-02 21:16:46"
"126";"Modicare Environ Router Chip";"865";"519";"19.22";"Code: HL2069   Shade Name: 
DP: 865.00   BV: 519.00   PV: 19.22
Weight(gm): 20.00
";"31";"2021-12-02 21:18:38"
"127";"Modicare Environ Pink Magneta Chip";"600";"360";"13.33";"Code: HL0002   Shade Name: 
DP: 600.00   BV: 360.00   PV: 13.33
Weight(gm): 20.00";"31";"2021-12-02 21:19:36"
"128";"Modicare Anti Radiation Environ Blue Chip";"600";"360";"13.33";"Code: HL0002   Shade Name: 
DP: 600.00   BV: 360.00   PV: 13.33
Weight(gm): 20.00";"31";"2021-12-02 21:20:27"
"129";"Modicare Anti Radiation Environ Black Chip";"600";"360";"13.33";"Code: HL0002   Shade Name: 
DP: 600.00   BV: 360.00   PV: 13.33
Weight(gm): 20.00";"31";"2021-12-02 21:21:06"
"130";"Modicare Anti Radiation Environ Silver Chip";"600";"360";"13.33";"Code: HL0002   Shade Name: 
DP: 600.00   BV: 360.00   PV: 13.33
Weight(gm): 20.00";"31";"2021-12-02 21:21:55"
"131";"Sofwash Glycerine & Honey Bar  Orange Soap";"155";"77.5";"2.87";"Code: PC4003   Shade Name: Sofwash Glycerin & Honey Bar ( 100G X 2) (New MRP)
DP: 155.00   BV: 77.50   PV: 2.87
Weight(gm): 237.00";"31";"2021-12-02 21:23:25"
"132";"Salon Professional Advance Formula Nourish & Shine Hair Oil";"115";"57.5";"2.13";"Code: PC5280   Shade Name: 
DP: 115.00   BV: 57.50   PV: 2.13
Weight(gm): 102.00";"31";"2021-12-03 14:00:24"
"133";"Sofwash Anti-Bacterial Soap New";"49";"24.5";"0.91";"Code: PC4014   Shade Name: 
DP: 49.00   BV: 24.50   PV: 0.91
Weight(gm): 84.00";"31";"2021-12-03 14:02:17"
"134";"Washmate Popular Detergent Powder 1Kg";"160";"56";"2.07";"Code: LC1018   Shade Name: 
DP: 160.00   BV: 56.00   PV: 2.07
Weight(gm): 1012.00";"31";"2021-12-03 14:04:51"
"135";"Well Tulsi ";"400";"240";"8.89";"Code: HL2028   Shade Name: 
DP: 400.00   BV: 240.00   PV: 8.89
Weight(gm): 55.00";"22";"2022-02-18 14:15:04"
